KIC,gmag,gmag_err,kmag,kmag_err,parallax,parallax_err,feh,feh_err,RUWE,num_gaia_companions,Kmag_final_prov,evstate,iso_mass,iso_mass_err1,iso_mass_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_feh,iso_feh_err1,iso_feh_err2,iso_rad,iso_rad_err1,iso_rad_err2,iso_rho,iso_rho_err1,iso_rho_err2,iso_lum,iso_lum_err1,iso_lum_err2,iso_age,unReAgeFlag,iso_age_err1,iso_age_err2,iso_dis,iso_dis_err1,iso_dis_err2,iso_avs,iso_gof,TAMS,DAI_cdpp3,DAI_cdpp6,DAI_cdpp12,DAI_std_vra,DAI_std_vdec,DAI_mean_vra,DAI_mean_vdec,DAI_sigma_vra,DAI_sigma_vdec,DAI_ra_gaia,DAI_dec_gaia,DAI_parallax,DAI_parallax_error,DAI_pmra,DAI_pmra_error,DAI_pmdec,DAI_pmdec_error,dutycycle,dutycycle_post,dataspan,dataspan_post,B2018_teff,B2018_teffe,B2018_dis,B2018_disep,B2018_disem,B2018_rad,B2018_radep,B2018_radem,B2018_avs,B2018_evState,B2018_binaryFlag,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,iso_koi_prad,iso_semi_major_axis,iso_koi_teq,q,vec2D
2303903,16.6074,0.0206,14.086,0.068,0.9049,0.043,nan,nan,1.0304,0,nan,nan,0.858,0.051,-0.06,5383.2,120.6,-115.9,4.535,0.033,-0.045,-0.098,0.138,-0.159,0.825,0.041,-0.038,0.17600000000000002,-0.718,-0.706,-0.28600000000000003,-1.079,-1.154,4.15,nan,5.48,-2.93,1123.7,60.6,-57.8,0.381,1.0,16.26,389.075,284.293,209.247,23.5344518984919,39.940115321247,-6.59270828179399,-23.937269030304602,1.25217446135333,0.408993269820989,291.64294156865003,37.63241370418,0.8749,0.043,4.222,0.069,-1.403,0.094,0.8736,0.8085,1458.931,1458.931,5431,190,1112.939,55.448,50.556,0.815,0.078,0.07,0.317,0,,CANDIDATE,CANDIDATE,0.8,3.70858595,2.26e-05,-2.26e-05,134.47308,0.00526,-0.00526,0.115,0.34700000000000003,-0.115,1.94,0.16899999999999998,-0.16899999999999998,305.4,32.8,-32.8,1.33,0.25,-0.11,995.0,nan,nan,231.84,137.93,-56.57,11.3,1.4215405281353402,0.044555608279195,1021.7016831820199,1.2512023415015094,23.30457399570016
2307206,16.3286,0.0204,13.928,0.056,0.6274,0.034,nan,nan,1.0544,0,nan,nan,0.979,0.079,-0.075,5704.3,125.6,-118.5,4.263,0.063,-0.064,0.027000000000000003,0.14400000000000002,-0.17,1.198,0.078,-0.073,-0.259,-0.909,-0.996,0.14,-0.687,-0.752,8.85,nan,3.44,-3.24,1564.9,101.0,-92.8,0.496,1.0,10.93,401.747,302.624,234.112,28.195474112560202,37.8943575640421,-15.6209338122915,-41.0714329697499,1.25957628917263,0.7880462611030251,292.37610153452005,37.65740649016,0.5974,0.034,-6.444,0.065,-8.939,0.068,0.8745,0.8294,1420.672,1420.672,5557,194,1606.918,92.02,82.78,1.249,0.123,0.109,0.325,0,,FALSE POSITIVE,FALSE POSITIVE,0.0,204.0329342,0.0001602,-0.0001602,253.536626,0.000395,-0.000395,0.49,0.014,-0.014,17.5623,0.0231,-0.0231,411374.0,504.0,-504.0,57.35,12.53,-4.98,272.0,nan,nan,1.29,0.87,-0.34,884.9,85.14946092598109,0.6734863470558621,335.56308359867,1.5306195923611057,83.25270578339085
2308411,15.3719,0.0201,13.684,0.043,0.7044,0.022,nan,nan,1.0309,0,nan,nan,1.157,0.047,-0.059,6354.7,119.0,-114.3,4.377,0.026,-0.034,-0.116,0.133,-0.16399999999999998,1.15,0.042,-0.041,-0.126,-1.129,-1.124,0.29100000000000004,-0.705,-0.732,1.02,nan,1.27,-0.67,1429.7,53.5,-53.0,0.374,1.0,5.3,221.098,175.979,145.458,19.1662077821811,30.227255519700797,-9.53352589989078,-30.3966079392127,0.080226617285997,1.31942016175717,292.63766043088,37.641841956,0.6744,0.022,-1.575,0.038,-9.998,0.038,0.8735,0.6304,1458.931,1458.931,6365,223,1423.5839999999996,45.547,42.92100000000001,1.139,0.095,0.086,0.302,0,,FALSE POSITIVE,FALSE POSITIVE,0.014,0.983304511,9.662e-06,-9.662e-06,132.48478,0.0088,-0.0088,0.477,0.503,-0.278,1.78,0.299,-0.299,79.9,9.5,-9.5,1.1,0.32,-0.14,2121.0,nan,nan,4774.53,3992.71,-1614.92,10.1,1.05443036797792,0.020315968122575,2108.78847472459,1.1643623022953529,68.1075272132534
2438264,15.0466,0.0201,12.155,0.023,2.2561,0.0176,0.16899999999999998,0.15,0.9871,0,nan,nan,0.8190000000000001,0.045,-0.038,4920.0,80.9,-76.4,4.522,0.033,-0.029,0.206,0.124,-0.123,0.8190000000000001,0.015,-0.015,0.16899999999999998,-0.8540000000000001,-0.942,-0.449,-1.6269999999999998,-1.663,10.62,*,5.72,-6.1,441.4,8.2,-8.1,0.124,1.0,23.5,141.57,114.288,94.521,25.4226326027471,36.036804575487,-1.7726147736181,-8.11482241764899,1.17251647286891,0.703413109267879,290.29642143436,37.74942708696,2.2261,0.0176,-14.83,0.029,-15.714,0.035,0.8734,0.8036,1458.931,1458.931,5078,102,443.329,3.448,3.405,0.8059999999999999,0.035,0.033,0.057,0,,CONFIRMED,CANDIDATE,1.0,15.90688891,2.554e-05,-2.554e-05,177.9305,0.00128,-0.00128,0.014,0.417,-0.014,3.9879,0.044,-0.044,924.7,13.4,-13.4,2.35,0.16,-0.12,588.0,nan,nan,28.32,6.44,-4.86,75.0,2.41584712796914,0.115811720801887,577.083429601188,1.3692033004657267,45.395491487557784
2438264,15.0466,0.0201,12.155,0.023,2.2561,0.0176,0.16899999999999998,0.15,0.9871,0,nan,nan,0.8190000000000001,0.045,-0.038,4920.0,80.9,-76.4,4.522,0.033,-0.029,0.206,0.124,-0.123,0.8190000000000001,0.015,-0.015,0.16899999999999998,-0.8540000000000001,-0.942,-0.449,-1.6269999999999998,-1.663,10.62,*,5.72,-6.1,441.4,8.2,-8.1,0.124,1.0,23.5,141.57,114.288,94.521,25.4226326027471,36.036804575487,-1.7726147736181,-8.11482241764899,1.17251647286891,0.703413109267879,290.29642143436,37.74942708696,2.2261,0.0176,-14.83,0.029,-15.714,0.035,0.8734,0.8036,1458.931,1458.931,5078,102,443.329,3.448,3.405,0.8059999999999999,0.035,0.033,0.057,0,,CONFIRMED,CANDIDATE,1.0,4.973455252,4.43e-06,-4.43e-06,170.88579099999995,0.000711,-0.000711,0.8170000000000001,0.056,-0.5760000000000001,1.6519,0.0276,-0.0276,741.6,13.1,-13.1,2.46,0.16,-0.13,867.0,nan,nan,133.55,30.37,-22.92,65.4,2.5284967315031097,0.053350008442554,850.2519081003792,1.3692033004657267,45.395491487557784
2439243,16.7401,0.0207,14.14,0.062,0.7676,0.0308,0.047,0.15,1.0029,0,nan,nan,0.867,0.06,-0.05,5300.2,106.4,-94.4,4.44,0.055,-0.051,0.078,0.136,-0.134,0.922,0.046,-0.042,0.034,-0.708,-0.7909999999999999,-0.215,-1.115,-1.167,10.88,nan,5.23,-5.72,1282.9,64.9,-60.0,0.31,1.0,17.61,365.99,275.779,216.096,26.8534731599649,38.504152039600896,-9.93145028441014,-30.494773824325105,0.993422299700542,0.201265576087582,290.47448747196,37.76654989105,0.7376,0.0308,-5.6960000000000015,0.054000000000000006,-3.539,0.063,0.8722,0.8512,1238.002,1238.002,5626,113,1308.984,54.455,50.407,0.91,0.06,0.056,0.23,0,,CONFIRMED,CANDIDATE,1.0,26.0203329,0.0001869,-0.0001869,154.5286,0.00624,-0.00624,0.7040000000000001,0.054000000000000006,-0.494,4.965,0.147,-0.147,1164.4,55.7,-55.7,4.53,0.71,-0.87,675.0,nan,nan,49.09,20.71,-18.78,23.7,3.3542583051692496,0.163863658500501,554.528922682515,1.28037816699672,41.409471374050995
2441151,15.3945,0.0201,12.845,0.024,1.239,0.0205,-0.014,0.15,0.9858,0,nan,nan,0.872,0.059,-0.043,5400.2,109.3,-91.7,4.342,0.042,-0.034,0.037000000000000005,0.145,-0.134,1.038,0.028,-0.027000000000000003,-0.114,-1.021,-1.139,-0.079,-1.19,-1.233,14.05,nan,3.54,-4.36,803.0,20.0,-19.2,0.34,1.0,16.81,171.65099999999995,136.785,117.098,25.0498719340806,38.2049256540496,-3.76244030458986,-18.3991281377723,1.34859433339201,0.239275252737184,290.93729957624,37.70394883375,1.209,0.0205,7.6560000000000015,0.034,-2.361,0.037000000000000005,0.8736,0.7216,1458.931,1458.931,5473,109,807.806,13.456,13.057,1.037,0.048,0.045,0.251,0,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.192009479,1.528e-06,-1.528e-06,171.671953,0.0005480000000000001,-0.0005480000000000001,1.248,2.904,-0.159,2.9453,0.0283,-0.0283,1475.6,13.3,-13.3,35.9,8.3,-6.76,1446.0,nan,nan,1030.69,616.08,-387.19,131.2,33.0890301949797,0.031550154883429,1366.2040904691198,1.396443601628952,30.650402348229733
2441495,14.1232,0.02,11.716,0.02,2.9005,0.0164,-0.215,0.15,1.0688,0,nan,nan,0.778,0.04,-0.048,5233.8,109.8,-103.5,4.5680000000000005,0.026,-0.032,-0.269,0.113,-0.116,0.758,0.012,-0.012,0.249,-0.902,-0.857,-0.409,-1.4509999999999998,-1.4780000000000002,6.2,*,6.61,-4.25,344.0,5.8,-5.8,0.125,1.0,20.4,81.878,63.236,51.15,26.092956631674102,35.0522212939411,-0.598088425755828,-5.578530316820401,0.596474479076995,1.05329362319511,291.02188992406,37.76987342641,2.8705,0.0164,9.062,0.027000000000000003,18.978,0.03,0.8735,0.8509,1458.931,1458.931,5159,103,344.802,1.94,1.923,0.7659999999999999,0.032,0.031,0.099,0,,CONFIRMED,CANDIDATE,1.0,12.49340725,1.236e-05,-1.236e-05,138.462232,0.0008410000000000001,-0.0008410000000000001,0.594,0.27,-0.395,2.2614,0.0287,-0.0287,715.7,10.8,-10.8,2.2,0.17,-0.1,649.0,nan,nan,42.08,10.56,-6.76,76.2,2.0944469480252703,0.096912882787589,645.607812765704,1.0657136605868704,34.36815728681231
2444412,12.9927,0.0223,11.047,0.02,3.278,0.0252,0.008,0.15,0.9955,0,nan,nan,0.916,0.038,-0.049,5562.5,91.2,-86.0,4.515,0.022,-0.032,-0.059,0.114,-0.122,0.875,0.017,-0.016,0.133,-1.0490000000000002,-0.945,-0.17800000000000002,-1.376,-1.401,3.22,nan,3.69,-2.2,305.3,5.5,-5.4,0.012,1.0,13.28,70.289,63.389,60.728,22.2170766658332,33.432719744816296,1.28392163343056,-3.76818845552718,0.960757465888562,0.8220935165594571,291.68328783151003,37.75147255675,3.248,0.0252,-13.745,0.04,-21.413,0.045,0.8733,0.8437,1458.931,1458.931,5565,111,305.124,2.339,2.31,0.88,0.038,0.036000000000000004,0.11,0,,CANDIDATE,CANDIDATE,1.0,14.91095177,1.275e-05,-1.275e-05,141.336726,0.000711,-0.000711,0.014,0.339,-0.014,3.325,0.024,-0.024,864.5,8.7,-8.7,2.62,0.33,-0.17,694.0,nan,nan,54.87,19.92,-10.44,116.9,2.5426656429814503,0.115142710913232,676.337757512255,1.0583175312871842,36.793380415452454
2445154,16.164,0.0203,12.732,0.024,2.1132,0.0242,nan,nan,0.9806,0,nan,nan,0.72,0.031,-0.03,4611.8,80.7,-75.7,4.598,0.022,-0.023,0.01,0.112,-0.108,0.705,0.014,-0.014,0.311,-0.884,-0.889,-0.6920000000000001,-1.819,-1.867,8.71,*,6.88,-5.9,472.4,9.6,-9.5,0.251,1.0,32.68,233.039,181.204,146.455,23.1743587133243,35.791265375471504,-0.6779015819340749,-7.9800085838992,0.807766379638025,0.898405491702465,291.85377919942,37.74183875927,2.0832,0.0242,-8.524,0.046,-17.637,0.052000000000000005,0.8737,0.8037,1458.931,1458.931,4500,158,473.422,5.428,5.32,0.722,0.054000000000000006,0.049,0.207,0,,FALSE POSITIVE,FALSE POSITIVE,0.0,8.4120069,3.509e-05,-3.509e-05,139.64745,0.00362,-0.00362,0.022,0.821,-0.022,3.923,0.551,-0.551,819.6,34.4,-34.4,1.71,0.15,-0.13,590.0,nan,nan,28.69,9.33,-6.89,39.7,1.93469794946771,0.072551260295867,634.089192081536,1.044187769606989,43.938607037144756
