KIC,gmag,gmag_err,kmag,kmag_err,parallax,parallax_err,feh,feh_err,RUWE,num_gaia_companions,Kmag_final_prov,evstate,iso_mass,iso_mass_err1,iso_mass_err2,iso_teff,iso_teff_err1,iso_teff_err2,iso_logg,iso_logg_err1,iso_logg_err2,iso_feh,iso_feh_err1,iso_feh_err2,iso_rad,iso_rad_err1,iso_rad_err2,iso_rho,iso_rho_err1,iso_rho_err2,iso_lum,iso_lum_err1,iso_lum_err2,iso_age,unReAgeFlag,iso_age_err1,iso_age_err2,iso_dis,iso_dis_err1,iso_dis_err2,iso_avs,iso_gof,TAMS,DAI_cdpp3,DAI_cdpp6,DAI_cdpp12,DAI_std_vra,DAI_std_vdec,DAI_mean_vra,DAI_mean_vdec,DAI_sigma_vra,DAI_sigma_vdec,DAI_ra_gaia,DAI_dec_gaia,DAI_parallax,DAI_parallax_error,DAI_pmra,DAI_pmra_error,DAI_pmdec,DAI_pmdec_error,dutycycle,dutycycle_post,dataspan,dataspan_post,B2018_teff,B2018_teffe,B2018_dis,B2018_disep,B2018_disem,B2018_rad,B2018_radep,B2018_radem,B2018_avs,B2018_evState,B2018_binaryFlag,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,iso_koi_prad,iso_semi_major_axis,iso_koi_teq,q,vec2D
1996180,14.2803,0.02,12.503,0.022,1.2036,0.0268,0.021,0.15,1.0668,0,nan,nan,1.118,0.06,-0.069,6104.5,113.4,-111.1,4.351,0.034,-0.04,0.0,0.133,-0.133,1.165,0.034,-0.033,-0.157,-1.119,-1.125,0.231,-0.828,-0.898,2.49,nan,2.06,-1.48,828.7,23.7,-22.1,0.248,1.0,6.48,110.443,88.68299999999998,78.149,26.8349183401303,39.6624631789134,-3.68850744220012,-17.9240649998186,0.265548958206441,0.499908280122809,286.34429542683,37.41193466162,1.1736,0.0268,0.851,0.038,-9.346,0.052000000000000005,0.8733,0.705,1458.931,1458.931,6099,122,832.17,18.783,18.019,1.171,0.056,0.053,0.17800000000000002,0,,CANDIDATE,CANDIDATE,0.922,5.42204257,6.847e-05,-6.847e-05,133.46021000000002,0.00864,-0.00864,0.94,0.037000000000000005,-0.64,2.952,0.223,-0.223,79.1,8.2,-8.2,1.39,0.26,-0.21,1222.0,nan,nan,527.11,272.08,-178.89,10.7,1.28497200357473,0.062688844554718,1160.71537166642,0.7525814142263492,36.958546866266616
2021440,16.2991,0.0204,13.505,0.052000000000000005,1.2824,0.0338,nan,nan,1.0741,0,nan,nan,0.795,0.042,-0.046,5027.1,94.7,-87.4,4.555,0.031,-0.037000000000000005,-0.039,0.13,-0.13,0.777,0.025,-0.026,0.224,-0.773,-0.762,-0.457,-1.45,-1.504,7.12,*,6.92,-4.91,782.2,27.6,-26.8,0.248,1.0,22.34,292.375,220.855,171.78400000000005,24.956375579153494,37.038853613716896,-3.322623744369241,-18.136309717069302,0.30301005884800203,0.230409822146249,292.9684517353,37.48866411004,1.2524,0.0338,1.12,0.053,-7.046,0.066,0.8739,0.726,1458.931,1458.931,5150,180,781.574,20.989,19.973,0.7659999999999999,0.063,0.057,0.171,0,,FALSE POSITIVE,FALSE POSITIVE,0.0,7.81153999,3.305e-05,-3.305e-05,136.33101000000002,0.00339,-0.00339,1.271,14.33,-0.172,5.984,0.165,-0.165,912.8,25.5,-25.5,23.56,3.22,-1.89,718.0,nan,nan,62.96,28.48,-15.76,41.3,25.7541173292203,0.07137528661299801,731.5801428859378,0.5356331003568483,26.3703518715873
2142522,13.1434,0.023,11.588,0.021,1.7885,0.0262,0.14400000000000002,0.15,1.0341,0,nan,nan,1.205,0.032,-0.044,6319.1,110.1,-101.0,4.373,0.017,-0.022,0.016,0.11,-0.118,1.18,0.026,-0.025,-0.139,-1.369,-1.335,0.303,-0.836,-0.87,0.72,nan,0.9,-0.46,561.2,11.8,-11.4,0.248,1.0,5.03,65.43,56.712,57.445,24.553635815086107,37.840017693494,-1.59339511023862,-10.8058305690976,0.33706976493051594,0.424345807200748,286.62575913537,37.537313043800005,1.7585,0.0262,2.479,0.043,1.948,0.042,0.8735,0.8390000000000001,1458.931,1458.931,6125,123,559.528,8.235,8.021,1.194,0.053,0.051,0.16399999999999998,0,,CONFIRMED,CANDIDATE,0.757,13.32354078,9.754e-05,-9.754e-05,134.03671,0.0063,-0.0063,0.225,0.238,-0.225,3.873,0.183,-0.183,116.6,8.3,-8.3,1.32,0.22,-0.14,872.0,nan,nan,136.61,61.54,-36.81,16.3,1.27487371317477,0.117042386375486,884.977961420681,0.482071751836733,8.355756144889906
2299738,14.6608,0.0201,11.966,0.021,2.5847,0.0169,0.062,0.15,1.0218,0,nan,nan,0.82,0.03,-0.044,5113.2,94.9,-88.8,4.57,0.02,-0.03,-0.052000000000000005,0.115,-0.116,0.777,0.014,-0.014,0.241,-0.971,-0.865,-0.428,-1.55,-1.608,3.92,nan,5.62,-2.8,387.8,6.8,-6.8,0.302,1.0,19.74,172.017,182.80900000000003,218.471,25.556432016725502,35.878449291005,-1.04148247116807,-6.43646064557602,0.199946447843422,0.224806268241904,290.71721754661,37.649023264549996,2.5547,0.0169,-3.315,0.028,0.878,0.03,0.873,0.3753,1458.931,1458.563,5095,178,386.944,2.519,2.494,0.779,0.058,0.052000000000000005,0.246,0,,CANDIDATE,CANDIDATE,0.901,1.8134378,2.643e-05,-2.643e-05,132.6703,0.011,-0.011,0.418,0.049,-0.418,7.776,0.312,-0.312,97.4,6.2,-6.2,0.69,0.09,-0.06,1158.0,nan,nan,423.67,176.71,-103.86,19.1,0.7667544203289379,0.027240021262193,1204.50158649736,0.4238461682908027,6.2888881740598075
2302548,14.2461,0.02,11.585,0.021,3.1508,0.0172,0.114,0.15,0.9672,0,nan,nan,0.7979999999999999,0.033,-0.043,4913.3,76.8,-71.4,4.5710000000000015,0.022,-0.03,0.046,0.115,-0.114,0.7659999999999999,0.013,-0.013,0.248,-0.946,-0.865,-0.509,-1.72,-1.744,5.68,*,6.61,-3.99,317.9,5.4,-5.4,0.0,1.0,23.28,112.601,100.703,103.205,25.9503962242268,35.6916592499039,0.594650812107791,-5.25386957223321,0.26864755431076004,0.7764880689934229,291.36473334983,37.60923901604,3.1208,0.0172,-4.198,0.027000000000000003,14.786,0.029,0.8734,0.8285,1458.931,1458.931,5121,102,317.409,1.723,1.709,0.75,0.032,0.03,0.135,0,,CONFIRMED,CANDIDATE,1.0,10.38122447,2.131e-05,-2.131e-05,268.02421,0.00149,-0.00149,0.319,0.117,-0.319,2.715,0.0552,-0.0552,801.5,21.5,-21.5,2.18,0.15,-0.1,672.0,nan,nan,48.37,11.58,-7.64,41.9,2.13660452899766,0.086384216848849,645.324680275656,0.9917953673017216,23.122910293766047
2302548,14.2461,0.02,11.585,0.021,3.1508,0.0172,0.114,0.15,0.9672,0,nan,nan,0.7979999999999999,0.033,-0.043,4913.3,76.8,-71.4,4.5710000000000015,0.022,-0.03,0.046,0.115,-0.114,0.7659999999999999,0.013,-0.013,0.248,-0.946,-0.865,-0.509,-1.72,-1.744,5.68,*,6.61,-3.99,317.9,5.4,-5.4,0.0,1.0,23.28,112.601,100.703,103.205,25.9503962242268,35.6916592499039,0.594650812107791,-5.25386957223321,0.26864755431076004,0.7764880689934229,291.36473334983,37.60923901604,3.1208,0.0172,-4.198,0.027000000000000003,14.786,0.029,0.8734,0.8285,1458.931,1458.931,5121,102,317.409,1.723,1.709,0.75,0.032,0.03,0.135,0,,CONFIRMED,CANDIDATE,1.0,24.5709023,0.0001009,-0.0001009,135.87209,0.0033,-0.0033,0.945,0.009000000000000001,-0.674,3.587,0.181,-0.181,764.2,31.7,-31.7,2.82,0.2,-0.12,505.0,nan,nan,15.33,3.68,-2.42,26.3,2.76792721870149,0.153420272291816,484.23268514574204,0.9917953673017216,23.122910293766047
2307415,13.4046,0.02,11.704,0.021,1.4148,0.0205,0.052000000000000005,0.15,1.1754,0,nan,nan,1.152,0.066,-0.085,5965.5,109.2,-106.9,4.181,0.035,-0.04,0.067,0.134,-0.156,1.4369999999999998,0.034,-0.034,-0.418,-1.3869999999999998,-1.415,0.374,-0.7559999999999999,-0.7929999999999999,4.68,nan,2.05,-1.3,705.1,15.8,-15.0,0.062,1.0,6.08,65.63600000000001,53.854,49.161,25.1755807865509,37.217812691248,-3.61484655481718,-14.996094018629696,0.726516618635124,0.059935195544622,292.42109983362997,37.68279194623,1.3848,0.0205,4.287,0.036000000000000004,-3.729,0.04,0.8733,0.7613,1458.931,1458.5220000000004,6140,123,707.2919999999998,10.294,10.03,1.4380000000000002,0.064,0.061,0.26,0,,CONFIRMED,CANDIDATE,0.978,13.12162167,4.483e-05,-4.483e-05,133.39526,0.00268,-0.00268,0.807,0.019,-0.5670000000000001,3.6138,0.0844,-0.0844,196.9,6.6,-6.6,1.99,0.36,-0.29,913.0,nan,nan,164.48,83.49,-55.05,32.7,2.2354650249760897,0.11413273282514,933.63674064181,0.7885518234828834,19.03599937537582
2307415,13.4046,0.02,11.704,0.021,1.4148,0.0205,0.052000000000000005,0.15,1.1754,0,nan,nan,1.152,0.066,-0.085,5965.5,109.2,-106.9,4.181,0.035,-0.04,0.067,0.134,-0.156,1.4369999999999998,0.034,-0.034,-0.418,-1.3869999999999998,-1.415,0.374,-0.7559999999999999,-0.7929999999999999,4.68,nan,2.05,-1.3,705.1,15.8,-15.0,0.062,1.0,6.08,65.63600000000001,53.854,49.161,25.1755807865509,37.217812691248,-3.61484655481718,-14.996094018629696,0.726516618635124,0.059935195544622,292.42109983362997,37.68279194623,1.3848,0.0205,4.287,0.036000000000000004,-3.729,0.04,0.8733,0.7613,1458.931,1458.5220000000004,6140,123,707.2919999999998,10.294,10.03,1.4380000000000002,0.064,0.061,0.26,0,,CONFIRMED,CANDIDATE,0.983,4.6126736,1.208e-05,-1.208e-05,132.7757,0.00233,-0.00233,0.755,0.025,-0.535,3.0643,0.0681,-0.0681,133.2,4.3,-4.3,1.6,0.29,-0.24,1294.0,nan,nan,663.8,336.98,-222.14,34.3,1.79893648097396,0.056848676457635985,1322.88734812565,0.7885518234828834,19.03599937537582
2438513,14.4867,0.02,12.528,0.024,1.6164,0.0159,0.07400000000000001,0.15,0.9467,0,nan,nan,0.963,0.025,-0.033,5850.1,91.3,-89.5,4.518,0.013,-0.02,-0.177,0.101,-0.103,0.894,0.017,-0.017,0.126,-1.1740000000000002,-1.119,-0.073,-1.222,-1.28,1.1,nan,1.6,-0.76,623.9,12.4,-11.9,0.341,1.0,10.15,168.37400000000005,155.708,153.16,23.9007366397944,36.6854176929529,-1.9674830382852095,-11.840294367686699,0.347901518769118,0.376187339440728,290.32864546018,37.723118841609995,1.5864,0.0159,-3.4410000000000003,0.026,0.6559999999999999,0.032,0.8735,0.7581,1458.931,1458.931,5739,115,618.8480000000002,6.082999999999998,5.982,0.893,0.039,0.037000000000000005,0.267,0,,CANDIDATE,CANDIDATE,1.0,12.18420006,4.127e-05,-4.127e-05,139.05643999999998,0.00282,-0.00282,0.746,0.035,-0.5329999999999999,2.5014,0.0863,-0.0863,499.3,22.5,-22.5,2.59,0.39,-0.29,819.0,nan,nan,106.52,44.98,-29.08,23.3,2.16442685702639,0.102331143058924,762.668737162641,0.632716326923894,10.272265589833108
2438513,14.4867,0.02,12.528,0.024,1.6164,0.0159,0.07400000000000001,0.15,0.9467,0,nan,nan,0.963,0.025,-0.033,5850.1,91.3,-89.5,4.518,0.013,-0.02,-0.177,0.101,-0.103,0.894,0.017,-0.017,0.126,-1.1740000000000002,-1.119,-0.073,-1.222,-1.28,1.1,nan,1.6,-0.76,623.9,12.4,-11.9,0.341,1.0,10.15,168.37400000000005,155.708,153.16,23.9007366397944,36.6854176929529,-1.9674830382852095,-11.840294367686699,0.347901518769118,0.376187339440728,290.32864546018,37.723118841609995,1.5864,0.0159,-3.4410000000000003,0.026,0.6559999999999999,0.032,0.8735,0.7581,1458.931,1458.931,5739,115,618.8480000000002,6.082999999999998,5.982,0.893,0.039,0.037000000000000005,0.267,0,,FALSE POSITIVE,FALSE POSITIVE,0.0,8.3606759,8.106e-05,-8.106e-05,138.81933999999998,0.0076,-0.0076,0.259,0.215,-0.259,6.287000000000001,0.268,-0.268,194.8,13.4,-13.4,1.49,0.22,-0.17,929.0,nan,nan,176.04,74.34,-48.07,17.7,1.2428194401154,0.079610570601021,864.6781580288658,0.632716326923894,10.272265589833108
